fpath,policy,theta,workload,secs,opsPerTx,total_threads,comm_rate,abrt_rate,avg_ms,median_ms,p95_ms,p99_ms
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,3827.5,68.99,2.559,2.499,3.171,3.668
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,3812.77,47.0,2.576,2.513,3.21,3.805
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,2860.65,11.0,3.468,3.374,4.331,5.148
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,3972.34,0.0,2.507,2.444,3.117,3.624
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,3944.58,0.0,2.523,2.46,3.12,3.691
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,2923.59,0.0,3.406,3.322,4.225,4.887
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,3424.38,545.89,2.54,2.484,3.153,3.639
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,3524.29,359.94,2.589,2.516,3.279,3.954
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_3/servers_3_clients_1/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,2669.66,61.97,3.659,3.448,5.211,7.135
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,20,8846.83,469.94,2.1414999999999997,2.0825,2.705,3.2165
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,20,8891.11,309.95,2.1705,2.1045,2.753,3.3735
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,20,7075.96,96.99,2.7880000000000003,2.6820000000000004,3.6295,4.8275
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,20,9489.56,0.0,2.0995,2.0445,2.6525,3.126
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,20,9437.87,0.0,2.1085000000000003,2.05,2.6710000000000003,3.191
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,20,7369.2,0.0,2.6995,2.6304999999999996,3.333,3.9645
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,20,6358.74,3432.63,2.135,2.083,2.683,3.184
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,20,7043.25,2423.69,2.198,2.113,2.9269999999999996,3.6635
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,20,5287.43,359.96,3.5275,2.601,9.1695,12.427
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-B/wait_nowait,nowait,0.4,YCSB-B,30,3,8,5554.59,0.0,1.791,1.756,2.197,2.584
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.4,YCSB-B,30,3,10,5508.23,0.0,1.8119999999999998,1.774,2.2409999999999997,2.685
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.4,YCSB-B,30,3,10,4275.44,0.0,2.325,2.2815000000000003,2.818,3.325
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-C/wait_nowait,nowait,0.4,YCSB-C,30,3,10,5562.2,0.0,1.783,1.749,2.1865,2.56
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.4,YCSB-C,30,3,10,5484.57,0.0,1.8125,1.7734999999999999,2.2355,2.673
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.4,YCSB-C,30,3,10,4320.43,0.0,2.3049999999999997,2.263,2.794,3.2935
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-A/wait_nowait,nowait,0.4,YCSB-A,30,3,10,5528.53,0.0,1.804,1.7675,2.2270000000000003,2.628
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.4,YCSB-A,30,3,10,5422.86,0.0,1.8315000000000001,1.79,2.2725,2.741
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.4,YCSB-A,30,3,10,4241.55,0.0,2.34,2.2915,2.8520000000000003,3.3705
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-B/wait_nowait,nowait,0.2,YCSB-B,30,3,10,5560.62,0.0,1.7850000000000001,1.7505000000000002,2.1895,2.577
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.2,YCSB-B,30,3,10,5491.41,0.0,1.8050000000000002,1.7654999999999998,2.2355,2.6745
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.2,YCSB-B,30,3,10,4289.57,0.0,2.325,2.2800000000000002,2.8245,3.349
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-C/wait_nowait,nowait,0.2,YCSB-C,30,3,10,5573.36,0.0,1.7795,1.7445,2.1765,2.5535
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.2,YCSB-C,30,3,10,5466.93,0.0,1.8155000000000001,1.7759999999999998,2.2385,2.676
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.2,YCSB-C,30,3,10,4282.71,0.0,2.3225,2.2794999999999996,2.8185000000000002,3.3274999999999997
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-A/wait_nowait,nowait,0.2,YCSB-A,30,3,10,5503.44,0.0,1.8105,1.7734999999999999,2.2350000000000003,2.638
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.2,YCSB-A,30,3,10,5447.61,0.0,1.8265,1.786,2.268,2.7365
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.2/servers_2_clients_2/threads_10/theta_0.2/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.2,YCSB-A,30,3,10,4271.58,0.0,2.339,2.294,2.851,3.3745000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,5416.41,113.98,1.801,1.7654999999999998,2.202,2.586
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,5405.43,80.98,1.8155000000000001,1.7770000000000001,2.2380000000000004,2.692
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,4228.37,19.0,2.3434999999999997,2.291,2.8674999999999997,3.528
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,5613.36,0.0,1.7694999999999999,1.7385000000000002,2.1630000000000003,2.527
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,5562.43,0.0,1.7905,1.7545,2.1944999999999997,2.6155
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,4353.85,0.0,2.2889999999999997,2.2505,2.7595,3.223
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,4704.39,931.87,1.8079999999999998,1.776,2.216,2.5949999999999998
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,4889.3,607.94,1.838,1.7854999999999999,2.3425000000000002,2.8905
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_10/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,3871.54,117.99,2.5025,2.3465,3.6195,5.1005
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,5432.61,115.97,1.7970000000000002,1.763,2.1944999999999997,2.5715
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,5420.56,78.99,1.812,1.7719999999999998,2.237,2.6925
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,4242.41,20.0,2.338,2.2845,2.874,3.5555000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,5626.1,0.0,1.7665,1.7345000000000002,2.1574999999999998,2.5205
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,5573.58,0.0,1.782,1.747,2.1875,2.5985
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,4319.35,0.0,2.3005,2.2615,2.7664999999999997,3.2445
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,4705.4,931.83,1.803,1.766,2.207,2.6710000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,4919.21,611.9,1.8325,1.7810000000000001,2.3289999999999997,2.846
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.99/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,3869.57,119.97,2.5025,2.343,3.6425,5.1735
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,20,10,521.94,2080.77,6.0885,6.0405,6.8855,7.7285
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,20,10,882.89,1419.67,6.6185,6.2065,9.763,12.418
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,20,10,756.95,418.98,9.8705,7.258,21.353,30.797
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,20,10,1669.77,0.0,5.9745,5.913,6.7645,7.641
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,20,10,1650.75,0.0,6.0335,5.9645,6.8325,8.131
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,20,10,1527.84,0.0,6.5315,6.471500000000001,7.3525,8.591000000000001
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,20,10,150.97,3656.58,6.137499999999999,6.084,7.01,7.8775
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,20,10,250.94,3193.66,8.443000000000001,7.300000000000001,14.6305,18.887999999999998
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_20/servers_2_clients_2/threads_10/theta_0.99/ops_20/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,20,10,239.95,450.76,14.3615,9.9115,43.63,59.165499999999994
